Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Market Capitalization,74,147,144,144,127
Enterprise Value,74,147,144,143,126
PE Ratio,517.50,517.53,-925.69,-578.56,-1604.46
PB Ratio,-969.88,-969.88,923.44,419.83,261.95
Current Ratio,0.28,0.28,0.64,1.05,1.13
Buyback Yield / Dilution,-335.81%,-335.81%,-483.00%,-483.00%,-22.17%
Total Shareholder Return,-335.81%,-335.81%,-483.00%,-483.00%,-22.17%
