Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,261,256,252,248,248,189,-
Market Cap Growth,-,35.65%,-,-,-,-,-
Enterprise Value,261,256,252,248,248,188,0
PE Ratio,262.50,260.44,-,-,-,-877.31,-
PB Ratio,-33.02,-33.02,-38.19,-39.56,-42.01,-32.84,-
Debt / Equity Ratio,-0.04,-0.04,-0.05,-0.05,-,-,6.75
Current Ratio,0.14,0.14,0.88,1.58,7.41,2.32,-
Buyback Yield / Dilution,-216.38%,-216.38%,-463.98%,-,-,-,-
Total Shareholder Return,-216.38%,-216.38%,-463.98%,-,-,-,-
