Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,372,362,357,353,306,318
Market Cap Growth,-,13.76%,-,-,-,-
Enterprise Value,371,361,355,351,305,315
PE Ratio,172.67,177.23,-2456.59,-380.04,-315.72,-584.55
PB Ratio,-39.38,-39.38,-39.90,-40.50,-35.04,-38.26
Current Ratio,0.87,0.87,1.29,1.78,2.20,1.86
Buyback Yield / Dilution,-341.95%,-341.95%,-475.00%,-475.00%,-,-
Total Shareholder Return,-341.95%,-341.95%,-475.00%,-475.00%,-,-
