Metrics,Current,2022-12-31,2022-09-30,2022-06-30
Market Capitalization,77,76,-,-
Enterprise Value,77,75,0,0
PE Ratio,600.45,600.45,-,-
PB Ratio,21.31,20.92,-,-
Debt / Equity Ratio,-,-,12.71,12.35
Current Ratio,4.48,4.48,-,-
