Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-28
Market Capitalization,114,495,498,493,491,490,488,487,490,392,-
Market Cap Growth,-,0.92%,2.10%,1.23%,0.31%,25.04%,-,-,-,-,-
Enterprise Value,114,494,498,493,491,489,487,486,488,390,-0
PE Ratio,28.31,27.96,28.59,21.30,37.66,88.26,206.79,-87.19,-,-346.73,-
PB Ratio,-85.51,-85.51,-33.44,-32.46,-24.96,-17.77,-16.52,97.40,97.90,-11.86,-
Debt / Equity Ratio,-,-,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,8.20
Current Ratio,0.06,0.06,0.26,0.73,1.74,5.15,7.14,9.37,12.27,16.57,-
Buyback Yield / Dilution,2.34%,9.36%,-,-,-,-189.84%,-566.67%,-,-,-,-
Total Shareholder Return,2.34%,9.36%,-,-,-,-189.84%,-566.67%,-,-,-,-
