Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,243,296,291,288,288,285,252,-
Market Cap Growth,-,3.63%,15.57%,-,-,-,-,-
Enterprise Value,244,297,291,288,287,284,251,-
PE Ratio,43.96,25.55,18.64,21.16,28.20,55.24,-,-
PB Ratio,-26.70,-26.70,-32.20,-30.03,-22.21,-15.88,-10.58,-
Debt / Equity Ratio,-0.21,-0.21,-,-,-,-,-,1.03
Current Ratio,0.42,0.42,2.43,10.87,3.32,18.04,10.28,0.19
Buyback Yield / Dilution,-,-,-399.39%,-,-,-,-,
Total Shareholder Return,-,-,-399.39%,-,-,-,-,
