Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,326,319,312,312,276,-
Enterprise Value,91,83,78,78,275,0
PE Ratio,5316.03,5316.03,-362.51,-435.89,-,-
PB Ratio,-46.03,-46.03,-32.09,-36.98,-36.08,-
Debt / Equity Ratio,-0.12,-0.12,-0.04,-,-,5.57
Current Ratio,30.09,30.09,22.39,24.30,1.22,0.05
Buyback Yield / Dilution,-315.42%,-318.90%,-311.61%,-,-,-
Total Shareholder Return,-315.42%,-318.90%,-311.61%,-,-,-
