Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,299,362,355,352,349,348,348,349,311
Market Cap Growth,-,3.80%,1.85%,1.09%,12.30%,-,-,-,-
Enterprise Value,299,362,355,352,349,348,348,348,308
PE Ratio,34.42,33.37,44.57,32.25,30.87,63.50,47.71,-,-
PB Ratio,-25.05,-25.05,-27.16,-28.55,-21.24,-16.48,-18.04,69.72,62.19
Current Ratio,0.02,0.02,0.10,0.36,0.78,3.00,13.08,45.91,1.84
Buyback Yield / Dilution,-19.67%,-19.67%,-,-,-222.42%,-378.85%,-,-,-
Total Shareholder Return,-19.67%,-19.67%,-,-,-222.42%,-378.85%,-,-,-
