Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,315,309,303,298,298,263
Market Cap Growth,-,17.41%,-,-,-,-
Enterprise Value,20,13,10,6,298,262
PE Ratio,15.37,15.06,17.32,24.81,31.16,-864.28
PB Ratio,-23.50,-23.50,-22.66,-17.01,-15.23,-8.94
Debt / Equity Ratio,-0.10,-0.10,-0.10,-0.07,-0.07,-
Current Ratio,20.98,20.98,20.10,15.21,1.22,0.71
Buyback Yield / Dilution,-687.92%,-687.92%,-2315.00%,-1912.50%,-,-
Total Shareholder Return,-687.92%,-687.92%,-2315.00%,-1912.50%,-,-
