Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,229,223,219,216,215,215,-,-
Market Cap Growth,-,3.85%,-,-,-,-,-,-
Enterprise Value,229,223,219,216,215,214,0,0
PE Ratio,210.60,200.58,-895.25,-287.03,-272.56,-335.42,-,-
PB Ratio,-489.23,-489.23,649.84,345.02,251.85,211.33,-,-
Debt / Equity Ratio,-0.99,-0.99,1.33,0.72,0.53,0.44,5.91,1.89
Current Ratio,0.55,0.55,1.54,2.02,12.32,6.31,-,-
Buyback Yield / Dilution,37.76%,-6.91%,-15.00%,-15.00%,-,-,-,-
Total Shareholder Return,37.76%,-6.91%,-15.00%,-15.00%,-,-,-,-
