Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-04
Market Capitalization,252,245,240,239,238,-,-,-,-
Enterprise Value,252,244,239,239,237,0,-0,-,-0
PE Ratio,22.30,22.92,28.83,34.62,35.17,-,-,-,-
PB Ratio,-34.77,-34.77,-29.56,-27.09,-26.82,-,-,-,-
Debt / Equity Ratio,-,-,-,-,-,7.86,0.04,-,0.04
Current Ratio,0.80,0.80,1.72,2.54,3.74,0.07,-,-,-
Buyback Yield / Dilution,-420.00%,-450.24%,-449.91%,-449.91%,-,-,-,-,-
Total Shareholder Return,-420.00%,-450.24%,-449.91%,-449.91%,-,-,-,-,-
