Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,394,390,384,377,372,310,313,-
Market Cap Growth,-,25.93%,22.57%,-,-,-,-,-
Enterprise Value,80,77,73,69,65,309,311,0
PE Ratio,150.00,41.76,27.90,42.88,44.68,105.63,-117.42,-
PB Ratio,-86.51,-86.51,-133.76,-28.42,-27.89,-16.50,-12.67,-
Debt / Equity Ratio,-,-,-,-,-,-,-,28.89
Current Ratio,58.90,58.90,78.35,21.16,20.69,9.08,3.06,-
Buyback Yield / Dilution,-,-330.86%,-500.00%,-438.11%,-,-,-,
Total Shareholder Return,-,-330.86%,-500.00%,-438.11%,-,-,-,
