Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-03-31,2021-12-31,2021-09-30,2021-03-31,2020-12-31
Market Capitalization,843,683,951,868,-,-,-,-,-
Enterprise Value,"1,513","1,354","1,661","1,586","1,193",443,-,-,-400
PE Ratio,-,-,-453.51,-,-,-,-,-,-
PS Ratio,-,-,1.41,-,-,-,-,-,-
PB Ratio,0.62,0.50,0.72,0.66,-,-,-,-,-
Debt / Equity Ratio,1.17,1.17,1.14,1.05,0.77,2.02,-,-,0.54
Buyback Yield / Dilution,-50.92%,-50.92%,-,-,-,-,-,-,-
Total Shareholder Return,-50.92%,-50.92%,-,-,-,-,-,-,-
