Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,302,297,291,290,286,252,-
Market Cap Growth,-,17.97%,-,-,-,-,-
Enterprise Value,302,297,290,289,285,251,0
PE Ratio,26.05,26.05,13.58,13.90,14.84,-,-
PB Ratio,-32.96,-32.96,-28.01,-29.43,-25.60,-14.88,-
Debt / Equity Ratio,-,-,-,-,-,-,17.72
Current Ratio,0.85,0.85,1.35,6.48,8.38,16.07,-
Buyback Yield / Dilution,-124.14%,-124.14%,-475.00%,-475.00%,-,-,-
Total Shareholder Return,-124.14%,-124.14%,-475.00%,-475.00%,-,-,-
