Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,313,413,410,407,421,417,-,-
Market Cap Growth,-,-1.06%,-,-,-,-,-,-
Enterprise Value,313,413,410,407,421,417,0,0
PE Ratio,338.00,335.65,648.93,-1510.80,-1018.42,-1559.50,-,-
PB Ratio,-26.16,-26.16,-27.78,-27.82,-28.51,-28.56,-,-
Debt / Equity Ratio,-0.01,-0.01,-0.01,-,-,-,8.34,0.75
Current Ratio,0.74,0.74,0.66,1.16,1.59,2.09,-,-
Buyback Yield / Dilution,-116.33%,-116.33%,-300.00%,-300.00%,-300.00%,-,-,-
Total Shareholder Return,-116.33%,-116.33%,-300.00%,-300.00%,-300.00%,-,-,-
