Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,151,532,522,521,519,517,516,517,437
Market Cap Growth,-,2.87%,1.12%,0.70%,18.87%,-,-,-,-
Enterprise Value,153,534,523,522,520,517,515,515,434
PE Ratio,28.11,27.68,31.57,31.75,37.94,-2056.32,115.50,-,-
PB Ratio,-29.71,-29.71,-30.07,-24.27,-21.40,-14.09,-15.75,103.40,87.33
Debt / Equity Ratio,-0.08,-0.08,-0.09,-0.07,-0.03,-,-,-,-
Current Ratio,0.03,0.03,0.10,0.18,0.18,0.32,0.69,4.18,34.28
Buyback Yield / Dilution,-15.96%,0.08%,-,-0.13%,-128.58%,-507.60%,-,-,-
Total Shareholder Return,-15.96%,0.08%,-,-0.13%,-128.58%,-507.60%,-,-,-
