Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,320,310,305,303,303,303,310,-,-
Market Cap Growth,-,2.27%,-1.70%,-,-,-,-,-,-
Enterprise Value,320,310,304,302,302,302,309,0,0
PE Ratio,27.57,27.13,48.21,24.11,30.60,67.43,-,-,-
PB Ratio,-28.78,-28.78,-24.30,-26.59,-21.60,-15.59,-17.27,-,-
Debt / Equity Ratio,-,-,-,-,-,-,-,19.31,13.66
Current Ratio,0.50,0.50,1.30,3.76,3.76,4.46,10.93,0.01,0.16
Buyback Yield / Dilution,-81.22%,-81.22%,-45.57%,-400.00%,-400.00%,-,-,-,-
Total Shareholder Return,-81.22%,-81.22%,-45.57%,-400.00%,-400.00%,-,-,-,-
