Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Market Capitalization,126,514,520,518,518,515,515,512,379,-
Market Cap Growth,-,-0.10%,0.92%,1.13%,36.85%,-,-,-,-,-
Enterprise Value,127,515,520,518,518,515,514,511,378,-0
PE Ratio,101.40,54.80,78.04,57.37,166.00,7069.27,438.56,-136.01,-,-
PB Ratio,-32.28,-32.28,-33.24,-31.66,-27.66,-24.34,-25.69,-20.52,-17.38,-
Debt / Equity Ratio,-0.03,-0.03,-0.03,-0.01,-,-,-,-,-,-1.14
Current Ratio,0.08,0.08,0.12,0.08,0.08,0.08,0.13,0.09,0.14,0.17
Buyback Yield / Dilution,-8.74%,3.44%,-,-,-,-410.18%,-409.69%,-,-,-
Total Shareholder Return,-8.74%,3.44%,-,-,-,-410.18%,-409.69%,-,-,-
