Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,66,177,175,173,172,-
Enterprise Value,65,177,174,173,171,0
PE Ratio,350.00,444.45,-1035.78,-,-,-
PB Ratio,-41.20,-41.20,-47.20,-52.61,-55.91,-
Debt / Equity Ratio,-,-,-,-,-,8.59
Current Ratio,1.55,1.55,3.63,9.57,18.55,0.54
Buyback Yield / Dilution,-451.80%,-501.95%,-,-,-,-
Total Shareholder Return,-451.80%,-501.95%,-,-,-,-
