Metrics,Current,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,77,150,149,149,147,-
Enterprise Value,77,150,148,148,147,0
PE Ratio,-329.68,-329.68,-,-,-301.13,-
PB Ratio,-41.43,-41.43,-39.66,-39.16,-40.23,-
Debt / Equity Ratio,-0.05,-0.05,-,-,-,7.55
Current Ratio,0.41,0.41,1.35,1.94,3.13,-
Buyback Yield / Dilution,-496.21%,-496.21%,-496.21%,-,-,-
Total Shareholder Return,-496.21%,-496.21%,-496.21%,-,-,-
