Metrics,Current,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,590,"1,095",424,426,425,417,311
Market Cap Growth,-,162.92%,36.34%,-,-,-,-
Enterprise Value,616,"1,121",450,412,424,416,310
PE Ratio,-,-,34.91,1389.12,83.87,-,-
PS Ratio,-,-,4.29,5.67,7.64,-,-
PB Ratio,20.14,37.38,3.75,10.76,-12.06,83.32,62.19
Debt / Equity Ratio,1.04,1.04,0.41,0.30,-,-,-
Current Ratio,-,-,1.80,2.94,7747.79,55.11,145.59
Buyback Yield / Dilution,-156.29%,-156.29%,-352.21%,-590.98%,-,-,-
Total Shareholder Return,-156.29%,-156.29%,-352.21%,-590.98%,-,-,-
