Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-15
Market Capitalization,335,325,320,317,307,282,-,-
Market Cap Growth,-,15.42%,-,-,-,-,-,-
Enterprise Value,334,324,319,316,306,280,0,0
PE Ratio,147.71,140.23,-1187.50,-468.55,-,-2553.75,-,-
PB Ratio,-40.05,-40.05,-41.21,-43.20,-43.97,-42.56,-,-
Debt / Equity Ratio,-,-,-,-,-,-,3.92,0.77
Current Ratio,2.31,2.31,3.54,6.57,18.26,15.70,-,-
Buyback Yield / Dilution,-325.41%,-263.54%,-412.65%,-,-,-,-,-
Total Shareholder Return,-325.41%,-263.54%,-412.65%,-,-,-,-,-
