Metrics,Current,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30
Market Capitalization,70,157,153,150,149,116,-
Market Cap Growth,-,35.51%,-,-,-,-,-
Enterprise Value,70,157,152,149,148,115,0
PE Ratio,96.91,104.02,184.80,873.71,-,-,-
PB Ratio,-36.67,-36.67,-41.95,-43.58,-45.13,-34.65,-
Debt / Equity Ratio,-0.08,-0.08,-,-,-,-,-21.81
Current Ratio,0.48,0.48,4.69,9.22,16.49,18.85,0.96
Buyback Yield / Dilution,-,-15.00%,-,-,-,-,
Total Shareholder Return,-,-15.00%,-,-,-,-,
