Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2021-12-31
Market Capitalization,73,71,-,-,-
Enterprise Value,18,15,0,0,0
PE Ratio,429.96,429.96,-,-,-
PB Ratio,13.80,13.31,-,-,-
Debt / Equity Ratio,-,-,22.53,22.33,9.71
Current Ratio,19.68,19.68,-,-,1.08
Buyback Yield / Dilution,-120.00%,-120.00%,-,-,-
Total Shareholder Return,-120.00%,-120.00%,-,-,-
