Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,322,314,306,303,302,311,310,-
Market Cap Growth,-,0.80%,-1.36%,-,-,-,-,-
Enterprise Value,322,314,306,303,301,311,310,0
PE Ratio,35.64,34.12,46.04,47.83,67.72,320.75,-,-
PB Ratio,-26.69,-26.69,-26.16,-24.41,-21.62,-17.84,-18.33,-
Debt / Equity Ratio,0.00,0.00,-,-,-,-,-,9.41
Current Ratio,0.27,0.27,0.46,0.57,0.74,0.86,1.68,0.00
Buyback Yield / Dilution,-121.65%,-121.65%,-169.79%,-400.00%,-400.00%,-,-,-
Total Shareholder Return,-121.65%,-121.65%,-169.79%,-400.00%,-400.00%,-,-,-
