Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,116,341,335,331,330,328,-
Market Cap Growth,-,4.14%,-,-,-,-,-
Enterprise Value,116,341,334,330,329,327,0
PE Ratio,176.00,166.47,820.77,-497.46,-581.26,-620.77,-
PB Ratio,-28.64,-28.64,-31.22,-31.54,-32.18,-32.09,-
Debt / Equity Ratio,-,-,-,-,-,-,1.91
Current Ratio,0.55,0.55,2.17,2.62,2.81,2.13,-
Buyback Yield / Dilution,-209.43%,-209.43%,-475.00%,-475.00%,-,-,-
Total Shareholder Return,-209.43%,-209.43%,-475.00%,-475.00%,-,-,-
