Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,262,256,249,247,247,219,-
Market Cap Growth,-,16.91%,-,-,-,-,-
Enterprise Value,262,255,248,247,246,217,0
PE Ratio,125.34,125.34,451.43,-1443.37,-851.35,-1924.04,-
PB Ratio,-38.47,-38.47,-39.15,-40.05,-41.23,-37.71,-
Debt / Equity Ratio,-,-,-,-,-,-,-11.44
Current Ratio,2.55,2.55,7.59,5.65,6.94,5.69,-
Buyback Yield / Dilution,-235.25%,-235.25%,-471.43%,-555.84%,-,-,-
Total Shareholder Return,-235.25%,-235.25%,-471.43%,-555.84%,-,-,-
