Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Market Capitalization,276,273,267,261,250,-
Enterprise Value,281,278,271,265,252,0
PE Ratio,55.47,65.77,126.45,-,-,-
PB Ratio,-22.90,-22.90,-22.91,-22.95,-23.57,-
Debt / Equity Ratio,-0.44,-0.44,-0.45,-0.46,-0.47,-6.54
Current Ratio,0.15,0.15,0.17,4.14,2.66,0.25
Buyback Yield / Dilution,-424.00%,-424.00%,-,-,-,-
Total Shareholder Return,-424.00%,-424.00%,-,-,-,-
