Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,165,388,383,379,378,345,-
Market Cap Growth,-,12.74%,-,-,-,-,-
Enterprise Value,165,388,382,378,377,343,0
PE Ratio,255.63,232.13,645.58,-5492.43,-2322.70,-5229.79,-
PB Ratio,-38.29,-38.29,-40.63,-41.46,-42.34,-39.01,-
Debt / Equity Ratio,-,-,-,-,-0.01,-0.02,4.09
Current Ratio,0.16,0.16,1.18,4.42,5.14,2.67,-
Buyback Yield / Dilution,-297.84%,-297.84%,-358.75%,-1242.68%,-,-,-
Total Shareholder Return,-297.84%,-297.84%,-358.75%,-1242.68%,-,-,-
