Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,157,152,149,148,148,128,-
Market Cap Growth,-,19.25%,-,-,-,-,-
Enterprise Value,157,152,149,148,147,127,0
PE Ratio,262.00,679.80,-360.26,-519.59,-,-1068.55,-
PB Ratio,-37.61,-37.61,-39.19,-44.83,-44.98,-40.74,-
Debt / Equity Ratio,-,-,-,-,-,-,2.92
Current Ratio,0.37,0.37,0.84,2.79,3.79,4.46,0.53
Buyback Yield / Dilution,-1606.27%,-293.85%,-497.80%,-,-,-,-
Total Shareholder Return,-1606.27%,-293.85%,-497.80%,-,-,-,-
