Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,434,435,426,419,415,413,422
Market Cap Growth,-,5.37%,0.99%,-,-,-,-
Enterprise Value,434,434,426,419,414,412,421
PE Ratio,79.88,86.05,175.60,1287.53,-718.60,-,-1879.13
PB Ratio,-38.70,-38.70,-38.66,-38.56,-38.64,-38.93,-40.89
Current Ratio,0.29,0.29,0.60,0.87,1.11,2.19,2.93
Buyback Yield / Dilution,-,-103.47%,-351.40%,-,-,-,
Total Shareholder Return,-,-103.47%,-351.40%,-,-,-,
