Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,99,336,331,328,327,324,-,-
Market Cap Growth,-,3.73%,-,-,-,-,-,-
Enterprise Value,98,336,331,327,327,323,0,0
PE Ratio,42.96,41.91,23.54,24.71,29.23,39.34,-,-
PB Ratio,-24.17,-24.17,-24.52,-24.53,-21.24,-17.64,-,-
Debt / Equity Ratio,-,-,-,-,-,-,-1.65,-9.55
Current Ratio,0.08,0.08,2.89,3.05,5.59,14.17,0.04,0.05
Buyback Yield / Dilution,-156.47%,-156.47%,-331.60%,-443.52%,-,-,-,-
Total Shareholder Return,-156.47%,-156.47%,-331.60%,-443.52%,-,-,-,-
