Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,455,444,436,432,312,315,-
Market Cap Growth,-,40.94%,-,-,-,-,-
Enterprise Value,455,444,435,431,311,313,0
PE Ratio,16.76,16.47,17.55,19.60,18.56,345.94,-
PB Ratio,-32.09,-32.09,-31.36,-29.60,-15.72,-8.80,-
Debt / Equity Ratio,-,-,-,-,-,-,9.04
Current Ratio,0.83,0.83,1.72,5.26,4.49,1.98,0.07
Buyback Yield / Dilution,-325.37%,-325.37%,-400.00%,-2.02%,-,-,-
Total Shareholder Return,-325.37%,-325.37%,-400.00%,-2.02%,-,-,-
