Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,105,103,102,100,99,-,-
Enterprise Value,24,22,21,19,18,0,0
PE Ratio,-463.62,-463.62,-150.93,-,-,-,-
PB Ratio,-27.65,-27.65,-30.63,-38.56,-54.21,-,-
Debt / Equity Ratio,-0.14,-0.14,-0.14,-0.07,-,10.08,3.11
Current Ratio,21.19,21.19,21.19,25.80,33.65,1.09,1.32
Buyback Yield / Dilution,-431.30%,-431.30%,-4948.13%,-,-,-,-
Total Shareholder Return,-431.30%,-431.30%,-4948.13%,-,-,-,-
