Metrics,Current,2022-12-31,2022-09-30,2022-06-30
Market Capitalization,65,79,94,-
Enterprise Value,65,80,94,0
PE Ratio,-33.07,-33.07,-,-
PB Ratio,-15.25,-15.25,-4956.65,-
Debt / Equity Ratio,-0.18,-0.18,-7.68,-4.35
Current Ratio,1.17,1.17,0.13,0.07
