Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,82,78,76,75,75,74,74,-
Market Cap Growth,-,4.43%,2.76%,-,-,-,-,-
Enterprise Value,24,20,18,17,16,16,73,0
PE Ratio,-41.98,-41.98,-40.77,-50.19,-83.55,-,-,-
PB Ratio,-14.98,-14.98,-20.56,-28.04,-35.97,-46.43,-58.97,-
Debt / Equity Ratio,-0.35,-0.35,-0.30,-0.06,-,-,-,3.95
Current Ratio,1.29,1.29,14.68,20.76,24.94,26.83,102.03,-
Buyback Yield / Dilution,-34.51%,-34.51%,-,-420.41%,-,-,-,-
Total Shareholder Return,-34.51%,-34.51%,-,-420.41%,-,-,-,-
