Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,297,292,288,285,286,283,-,-
Market Cap Growth,-,3.25%,-,-,-,-,-,-
Enterprise Value,297,292,288,285,286,282,0,0
PE Ratio,21.50,21.18,13.19,13.66,14.35,24.33,-,-
PB Ratio,-34.23,-34.23,-27.53,-25.06,-23.25,-13.77,-,-
Debt / Equity Ratio,-0.02,-0.02,-,-,-,-,-2.67,-1.66
Current Ratio,0.88,0.88,2.22,2.01,6.20,4.14,-,-
Buyback Yield / Dilution,-189.66%,-189.66%,-475.00%,-475.00%,-,-,-,-
Total Shareholder Return,-189.66%,-189.66%,-475.00%,-475.00%,-,-,-,-
