Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,116,258,253,250,247,-
Enterprise Value,115,258,253,250,246,0
PE Ratio,39.11,39.11,-,-,-,-
PB Ratio,-33.90,-33.90,-35.79,-34.18,-29.86,-
Debt / Equity Ratio,-,-,-,-,-,16.15
Current Ratio,1.09,1.09,4.43,4.37,3.47,0.18
Buyback Yield / Dilution,-367.14%,-411.54%,-,-,-,-
Total Shareholder Return,-367.14%,-411.54%,-,-,-,-
