Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,54,236,187,188,188,-,-
Enterprise Value,53,234,186,187,186,0,0
PE Ratio,43.86,49.56,51.48,64.68,135.64,-,-
PB Ratio,226.06,985.42,1352.50,-1749.01,-122.56,-,-
Debt / Equity Ratio,-,-,-,-,-,0.05,4.97
Current Ratio,2.25,2.25,2.93,6.66,7.07,10.44,-
Buyback Yield / Dilution,-431.57%,-481.64%,-495.92%,-130.00%,-,-,-
Total Shareholder Return,-431.57%,-481.64%,-495.92%,-130.00%,-,-,-
