Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,297,289,282,280,278,277,-,-
Market Cap Growth,-,4.33%,-,-,-,-,-,-
Enterprise Value,297,289,282,279,277,276,0,0
PE Ratio,35.23,24.42,30.47,63.24,94.84,117.78,-,-
PB Ratio,-32.66,-32.66,-24.12,-17.94,-16.52,-15.97,-,-
Debt / Equity Ratio,-,-,-,-,-,-,19.23,3.92
Current Ratio,0.51,0.51,2.05,3.16,3.40,7.36,-,-
Buyback Yield / Dilution,-165.21%,-165.21%,-400.00%,-400.00%,-,-,-,-
Total Shareholder Return,-165.21%,-165.21%,-400.00%,-400.00%,-,-,-,-
