Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,152,148,146,130,-,-
Enterprise Value,152,148,145,129,0,0
PE Ratio,1017.80,1017.80,-,-,-,-
PB Ratio,-30.64,-30.64,-38.85,-37.26,-,-
Debt / Equity Ratio,-,-,-,-,18.90,18.90
Current Ratio,0.29,0.29,2.14,7.35,-,1.05
Buyback Yield / Dilution,-16.09%,-14.21%,-,-,-,-
Total Shareholder Return,-16.09%,-14.21%,-,-,-,-
