Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,253,299,296,296,298,297,221
Market Cap Growth,-,0.93%,33.76%,-,-,-,-
Enterprise Value,254,300,297,296,298,297,221
PE Ratio,49.70,60.21,70.96,63.52,89.94,342.76,-
PB Ratio,-27.97,-27.97,-26.07,-24.87,-22.54,-18.92,-14.97
Debt / Equity Ratio,-0.25,-0.25,-0.23,-0.22,-0.20,-0.01,-
Current Ratio,0.55,0.55,1.62,1.81,1.95,0.60,1.39
Buyback Yield / Dilution,-86.51%,-86.51%,-60.05%,-1047.04%,-1047.04%,-,-
Total Shareholder Return,-86.51%,-86.51%,-60.05%,-1047.04%,-1047.04%,-,-
