Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,343,341,333,330,325,252,-
Market Cap Growth,-,35.55%,-,-,-,-,-
Enterprise Value,343,340,333,329,324,250,0
PE Ratio,18.63,18.33,20.34,-,-,-,-
PB Ratio,-30.76,-30.76,-30.74,-27.14,-26.55,-10.64,-
Debt / Equity Ratio,-,-,-,-0.01,-0.01,-,15.44
Current Ratio,22.21,22.21,105.58,17.63,21.52,3.55,0.10
Buyback Yield / Dilution,-122.77%,-122.77%,-547.84%,-331.25%,-,-,-
Total Shareholder Return,-122.77%,-122.77%,-547.84%,-331.25%,-,-,-
