Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,245,296,289,287,286,289
Market Cap Growth,-,2.49%,-,-,-,-
Enterprise Value,245,296,289,286,285,288
PE Ratio,32.24,30.90,-,-,-,-189.66
PB Ratio,-25.91,-25.91,-30.70,-21.58,-20.47,-15.63
Current Ratio,0.45,0.45,2.61,5.36,8.00,4.86
Buyback Yield / Dilution,-200.00%,-200.00%,-475.00%,-475.00%,-,-
Total Shareholder Return,-200.00%,-200.00%,-475.00%,-475.00%,-,-
