Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,152,148,145,144,-,-
Enterprise Value,152,147,144,143,0,0
PE Ratio,117.76,150.65,689.82,-1704.47,-,-
PB Ratio,-41.75,-41.75,-43.36,-46.48,-,-
Debt / Equity Ratio,-,-,-,-,20.32,15.37
Current Ratio,2.27,2.27,3.40,6.75,-,0.03
Buyback Yield / Dilution,-317.53%,-317.53%,-475.00%,-313.19%,-,-
Total Shareholder Return,-317.53%,-317.53%,-475.00%,-313.19%,-,-
