Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,96,336,325,326,328,329,329,250,254
Market Cap Growth,-,2.12%,-1.16%,30.28%,29.21%,-,-,-,-
Enterprise Value,89,329,315,325,328,328,329,249,253
PE Ratio,42.83,42.62,36.11,-387.47,-219.51,-295.87,-106.90,-,-
PB Ratio,19.34,67.57,56.19,-232.33,-428.61,-3021.98,-166.81,50.00,50.83
Current Ratio,0.64,0.64,2.14,0.43,0.65,1.05,0.22,0.90,4.88
Buyback Yield / Dilution,-15.96%,-10.40%,-,-,-184.98%,-460.84%,-,-,-
Total Shareholder Return,-15.96%,-10.40%,-,-,-184.98%,-460.84%,-,-,-
