Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,387,380,18,371,372,283
Market Cap Growth,-,34.48%,-,-,-,-
Enterprise Value,387,379,17,370,371,281
PE Ratio,18.19,18.00,1.29,32.35,73.60,-46.21
PB Ratio,-26.22,-26.22,-1.36,-24.99,-17.49,-8.73
Current Ratio,0.87,0.87,1.79,2.75,3.15,2.99
Buyback Yield / Dilution,-248.92%,-248.92%,-475.00%,-475.00%,-564.44%,-
Total Shareholder Return,-248.92%,-248.92%,-475.00%,-475.00%,-564.44%,-
