Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,362,359,354,344,341,341,252,-
Market Cap Growth,-,5.41%,40.47%,-,-,-,-,-
Enterprise Value,362,360,354,344,341,341,251,0
PE Ratio,65.50,65.05,145.71,-9018.96,-369.16,-390.09,-660.12,-
PB Ratio,-34.78,-34.78,-35.74,-35.61,-36.99,-38.52,-30.13,-
Debt / Equity Ratio,-0.04,-0.04,-0.04,-0.04,-,-,-,-3.49
Current Ratio,0.30,0.30,0.63,0.89,1.70,2.33,3.56,0.01
Buyback Yield / Dilution,-,-253.45%,-475.00%,-475.00%,-,-,-,
Total Shareholder Return,-,-253.45%,-475.00%,-475.00%,-,-,-,
