Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+78 Quarters
Market Capitalization,"2,491,261","2,146,049","1,787,732","1,736,943","1,920,840","2,311,359","2,525,084","2,118,598","2,040,304","1,778,228","1,681,606","1,591,704","1,543,306","1,199,550","1,203,063","1,061,551","1,026,511","904,861","779,674","877,014","757,640","702,760","659,906","573,740","532,175","508,935","483,160","448,849","402,220","436,831","443,169","353,511","357,155","333,525","382,881","381,999","344,459","340,247","312,297","277,221","288,489",Upgrade
Market Cap Growth,-,-7.15%,-29.20%,-18.01%,-5.86%,29.98%,50.16%,33.10%,32.20%,48.24%,39.78%,49.94%,50.34%,32.57%,54.30%,21.04%,35.49%,28.76%,18.15%,52.86%,42.37%,38.08%,36.58%,27.82%,32.31%,16.51%,9.02%,26.97%,12.62%,30.97%,15.75%,-7.46%,3.69%,-1.98%,22.60%,37.80%,19.40%,42.00%,38.92%,11.12%,12.26%,Upgrade
Enterprise Value,"2,447,356","2,102,144","1,748,338","1,689,963","1,877,353","2,267,949","2,463,747","2,051,321","1,977,745","1,720,151","1,619,036","1,525,032","1,477,777","1,135,782","1,145,590","1,001,069","971,058","852,315","730,864","823,016","705,680","653,398","612,026","526,512","490,760","466,925","445,349","386,607","342,441","377,673","384,958","292,723","295,921","269,955","320,940","316,526","281,395","274,501","251,329","212,481","227,067",Upgrade
PE Ratio,36.26,31.09,26.51,24.89,26.41,31.90,35.47,31.21,33.30,31.75,32.77,33.51,34.85,25.93,27.14,25.83,26.16,25.91,23.25,46.60,45.72,44.57,47.72,21.73,20.88,20.96,21.42,21.07,19.58,41.68,37.85,28.16,29.29,16.68,18.52,17.88,15.61,15.17,13.68,12.24,13.20,Upgrade
PS Ratio,12.00,10.34,8.76,8.55,9.69,12.00,13.66,12.02,12.14,11.12,10.97,10.82,10.79,8.65,8.96,8.18,8.16,7.40,6.58,7.63,6.87,6.64,6.45,5.79,5.51,5.22,5.10,4.84,4.41,5.03,5.03,3.90,3.82,3.52,4.10,4.18,3.97,4.08,3.74,3.45,3.71,Upgrade
PB Ratio,12.80,11.02,9.76,10.01,11.53,14.19,15.78,13.94,14.37,13.22,12.91,12.90,13.05,10.48,10.93,10.01,10.03,9.54,8.46,10.20,9.16,8.87,8.42,6.40,6.07,7.30,7.02,6.38,5.59,5.84,5.77,4.57,4.46,3.70,4.17,4.24,3.84,3.89,3.67,3.40,3.65,Upgrade
Debt / Equity Ratio,0.31,0.31,0.33,0.35,0.37,0.38,0.40,0.42,0.48,0.50,0.53,0.58,0.60,0.65,0.70,0.72,0.77,0.83,0.86,0.95,0.99,1.05,1.21,1.02,1.04,1.20,1.23,1.06,0.74,0.62,0.58,0.50,0.44,0.35,0.31,0.26,0.25,0.26,0.27,0.20,0.20,Upgrade
Quick Ratio,1.66,1.66,1.66,1.59,1.57,1.77,2.05,1.96,1.90,2.10,2.36,2.30,2.33,2.73,2.65,2.68,2.35,2.80,2.93,2.72,2.74,3.24,2.77,2.96,2.79,2.67,1.94,2.52,2.22,2.66,2.75,2.24,2.30,2.65,2.24,2.28,2.31,3.01,2.96,2.65,2.53,Upgrade
Current Ratio,1.91,1.91,1.93,1.84,1.79,1.99,2.25,2.17,2.08,2.29,2.58,2.53,2.52,2.90,2.80,2.85,2.53,2.97,3.12,2.92,2.90,3.40,2.89,3.12,2.92,2.81,2.05,2.69,2.35,2.90,3.00,2.46,2.47,2.91,2.45,2.52,2.50,3.22,3.17,2.87,2.71,Upgrade
Interest Coverage,43.92,46.71,42.51,44.14,42.30,41.14,43.89,39.08,36.09,28.23,33.11,28.38,20.57,21.92,22.54,20.92,19.83,16.63,16.45,16.16,16.89,13.51,14.14,12.88,13.15,12.65,16.40,16.62,27.77,15.81,19.95,23.14,-6.11,31.89,49.46,37.62,39.92,40.75,59.36,55.31,52.21,Upgrade
