Metrics,Current,2022-09-30,2022-06-30,2021-12-31,2021-09-30,2021-06-30,2020-12-31
Market Capitalization,130,106,-,-,-,-,-
Enterprise Value,129,104,0,0,-,-,0
PB Ratio,-58.94,-58.94,-,-,-,-,-
Debt / Equity Ratio,-,-,14.20,1.92,-,-,0.03
Current Ratio,2.05,2.05,-,0.85,-,-,-
Buyback Yield / Dilution,-35.22%,-35.22%,-,-,-,-,-
Total Shareholder Return,-35.22%,-35.22%,-,-,-,-,-
