Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,259,251,247,244,244,243,-,-
Market Cap Growth,-,3.29%,-,-,-,-,-,-
Enterprise Value,259,251,246,243,243,242,0,0
PE Ratio,54.58,52.14,21.82,26.64,31.53,41.43,-,-
PB Ratio,-57.81,-57.81,-52.30,-21.41,-18.28,-15.34,-,-
Debt / Equity Ratio,-,-,-,-,-,-,19.54,19.54
Current Ratio,0.40,0.40,0.53,0.68,0.88,1.19,0.08,-
Buyback Yield / Dilution,-216.09%,-216.09%,-471.29%,-471.29%,-,-,-,-
Total Shareholder Return,-216.09%,-216.09%,-471.29%,-471.29%,-,-,-,-
