Metrics,Current,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,328,320,317,249,251,-
Enterprise Value,327,319,316,247,249,0
PE Ratio,-,-,-,-,-2296.81,-
PB Ratio,-23.08,-23.08,-24.91,-20.09,-20.61,-
Debt / Equity Ratio,-,-,-,-,-0.02,-33.09
Current Ratio,0.97,0.97,2.78,4.69,3.69,0
Buyback Yield / Dilution,-475.00%,-475.00%,-1593.06%,-,-,-
Total Shareholder Return,-475.00%,-475.00%,-1593.06%,-,-,-
