Metrics,Current,2022-12-31,2022-09-30,2021-12-31,2021-09-30
Market Capitalization,95,-,-,-,-
Enterprise Value,96,0,0,-,0
Debt / Equity Ratio,-10.10,-10.10,-9.05,-,-1.74
Current Ratio,0.90,0.90,0.89,-,-
