Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,216,211,207,205,205,205,205
Market Cap Growth,-,3.20%,0.82%,-,-,-,-
Enterprise Value,216,211,207,205,204,203,203
PE Ratio,18.08,17.58,80.86,37.73,50.45,-57.20,-
PB Ratio,-23.46,-23.46,-20.46,-20.78,-18.64,-11.02,-16.94
Debt / Equity Ratio,0.00,0.00,-,-,-,-,-
Current Ratio,0.11,0.11,0.04,0.11,0.29,1.25,12.14
Buyback Yield / Dilution,-58.49%,-58.49%,-22.86%,-463.33%,-463.33%,-,-
Total Shareholder Return,-58.49%,-58.49%,-22.86%,-463.33%,-463.33%,-,-
