Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,154,149,144,143,142,141,127
Market Cap Growth,-,5.48%,13.42%,-,-,-,-
Enterprise Value,154,149,144,143,142,141,127
PE Ratio,-657.12,-657.12,-309.74,-211.12,-256.65,-,-
PB Ratio,-32.46,-32.46,-38.99,-42.41,-44.81,-48.04,-47.25
Debt / Equity Ratio,-0.03,-0.03,-,-,-,-,-
Current Ratio,0.39,0.39,1.83,3.81,8.11,9.51,26.53
Buyback Yield / Dilution,22.85%,22.85%,-63.27%,-475.00%,-,-,-
Total Shareholder Return,22.85%,22.85%,-63.27%,-475.00%,-,-,-
