Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,389,380,378,374,374,370
Market Cap Growth,-,2.74%,-,-,-,-
Enterprise Value,389,380,377,373,372,369
PE Ratio,-437.79,-437.79,-224.12,-334.70,-296.36,-662.88
PB Ratio,-22.45,-22.45,-25.74,-27.62,-27.43,-28.74
Current Ratio,0.42,0.42,1.09,1.61,1.85,2.03
Buyback Yield / Dilution,-432.20%,-166.60%,-500.00%,-500.00%,-,-
Total Shareholder Return,-432.20%,-166.60%,-500.00%,-500.00%,-,-
