Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,56,217,212,182,209,209,-,-
Market Cap Growth,-,3.88%,-,-,-,-,-,-
Enterprise Value,56,216,211,181,208,208,-4,0
PE Ratio,206.40,199.46,-810.82,-216.18,-258.15,-451.03,-,-
PB Ratio,-40.19,-40.19,-43.53,-39.03,-47.79,-51.65,-,-
Debt / Equity Ratio,-,-,-,-,-,-,-11.51,0.15
Current Ratio,1.78,1.78,3.35,4.06,5.24,9.49,0.88,0.10
Buyback Yield / Dilution,-100.89%,-100.89%,-466.67%,-466.67%,-,-,-,-
Total Shareholder Return,-100.89%,-100.89%,-466.67%,-466.67%,-,-,-,-
