Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,301,293,288,285,248,247,-
Market Cap Growth,-,18.61%,-,-,-,-,-
Enterprise Value,300,291,287,284,247,245,0
PE Ratio,26.18,25.38,21.24,24.49,27.91,64.44,-
PB Ratio,-29.40,-29.40,-27.79,-25.26,-17.73,-12.94,-
Debt / Equity Ratio,-,-,-,-,-,-,3.12
Current Ratio,0.98,0.98,1.36,1.68,1.95,2.24,-
Buyback Yield / Dilution,-16.99%,-21.90%,-15.00%,-15.00%,-,-,-
Total Shareholder Return,-16.99%,-21.90%,-15.00%,-15.00%,-,-,-
