Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,666,661,648,635,632,642,-,-
Market Cap Growth,-,2.97%,-,-,-,-,-,-
Enterprise Value,666,661,648,635,633,642,0,-0
PE Ratio,169.50,30.86,40.35,74.96,141.19,-,-,-
PB Ratio,-27.31,-27.31,-28.77,-24.05,-22.53,-18.57,-,-
Debt / Equity Ratio,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,15.88,16.25
Current Ratio,0.68,0.68,1.39,2.05,1.97,0.11,1.04,1.04
Buyback Yield / Dilution,-13.06%,-13.06%,-931.47%,-400.00%,-,-,-,-
Total Shareholder Return,-13.06%,-13.06%,-931.47%,-400.00%,-,-,-,-
