Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,227,221,217,215,186,188,-
Market Cap Growth,-,17.06%,-,-,-,-,-
Enterprise Value,227,220,216,214,185,187,0
PE Ratio,1054.00,1392.70,-221.93,-179.46,-226.47,-440.98,-
PB Ratio,-34.74,-34.74,-37.52,-38.50,-35.79,-39.34,-
Debt / Equity Ratio,-,-,-,-,-,-,7.66
Current Ratio,0.42,0.42,0.79,1.09,1.76,2.22,-
Buyback Yield / Dilution,-227.24%,-227.24%,-339.61%,-331.25%,-,-,-
Total Shareholder Return,-227.24%,-227.24%,-339.61%,-331.25%,-,-,-
