Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Market Capitalization,115,110,107,94,-
Enterprise Value,114,110,107,93,0
PE Ratio,507.24,507.24,-,-,-
PB Ratio,-56.30,-56.30,-62.95,-64.24,-
Debt / Equity Ratio,-,-,-,-,9.67
Current Ratio,2.31,2.31,10.29,8.89,0.13
