Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,157,153,151,148,147,-
Enterprise Value,157,153,150,148,147,0
PE Ratio,181.19,181.19,6579.08,-450.99,-396.51,-
PB Ratio,1346.66,1310.37,504.70,307.94,305.04,-
Debt / Equity Ratio,-,-,-,-,-,9.89
Current Ratio,1.71,1.71,2.33,2.86,1.65,0.01
Buyback Yield / Dilution,-444.02%,-479.19%,-479.60%,-,-,-
Total Shareholder Return,-444.02%,-479.19%,-479.60%,-,-,-
