Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,272,267,253,250,249,228,-
Market Cap Growth,-,17.43%,-,-,-,-,-
Enterprise Value,66,60,47,45,44,23,0
PE Ratio,-982.50,-982.50,-711.97,-328.25,-,-,-
PB Ratio,-25.57,-25.57,-28.69,-30.77,-32.55,-30.95,-
Debt / Equity Ratio,-,-,-,-,-,-,-1.65
Current Ratio,0.21,0.21,1.32,8.17,10.44,14.37,-
Buyback Yield / Dilution,-291.92%,-291.92%,-558.55%,-,-,-,-
Total Shareholder Return,-291.92%,-291.92%,-558.55%,-,-,-,-
