Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,92,92,150,146,145,-,-
Enterprise Value,35,35,33,30,30,0,0
PE Ratio,8.45,49.14,117.44,375.79,-5971.36,-,-
PB Ratio,-24.08,-24.08,-53.40,-54.46,-56.44,-,-
Debt / Equity Ratio,-0.21,-0.21,-,-,-,-88.24,2000.00
Current Ratio,14.74,14.74,38.68,39.24,39.36,0.99,1.00
Buyback Yield / Dilution,-312.91%,-312.91%,-366.33%,-411.48%,-,-,-
Total Shareholder Return,-312.91%,-312.91%,-366.33%,-411.48%,-,-,-
